线路名称,优选地址,网络带宽,峰值速度,往返延迟,数据中心,更新时间
移动,104.19.126.245,20 MB,2672 kB/s,207 毫秒,LAX,2025-11-04 00:10:13
移动,104.17.237.183,34 MB,4467 kB/s,172 毫秒,SEA,2025-11-04 00:13:34
移动,104.17.13.237,23 MB,3008 kB/s,206 毫秒,SJC,2025-11-04 00:01:23
移动,104.17.253.16,35 MB,4508 kB/s,170 毫秒,SEA,2025-11-04 00:06:43
移动,104.16.189.105,25 MB,3248 kB/s,199 毫秒,SJC,2025-11-04 00:10:13
联通,104.18.40.105,28 MB,3700 kB/s,166 毫秒,LAX,2025-11-04 00:06:39
联通,104.17.142.71,51 MB,6605 kB/s,139 毫秒,SJC,2025-11-04 00:06:33
联通,104.16.206.127,27 MB,3571 kB/s,139 毫秒,LAX,2025-11-04 00:06:33
联通,104.17.174.37,40 MB,5230 kB/s,162 毫秒,LAX,2025-11-04 00:07:54
联通,104.16.46.137,27 MB,3569 kB/s,152 毫秒,SJC,2025-11-04 00:13:40
